id,age,gender,country,traffic_source
53863,69,F,Japan,Search
66874,58,M,Japan,Search
76575,44,M,Japan,Search
13292,19,F,Japan,Search
70430,17,F,Japan,Facebook
20783,35,F,Japan,Search
50663,53,M,Japan,Display
17345,24,F,Japan,Search
53735,32,F,Japan,Organic
40338,46,F,Japan,Search
80412,34,M,Japan,Search
66161,51,F,Japan,Search
75749,64,F,Japan,Search
88630,48,M,Japan,Search
96544,56,F,Japan,Search
74904,50,M,Japan,Search
98582,21,M,Japan,Search
15419,47,F,Japan,Search
49919,23,F,Japan,Search
69895,29,F,Japan,Search
73270,51,M,Japan,Search
41646,23,M,Japan,Search
99383,58,F,Japan,Search
54810,41,M,Japan,Search
65983,67,F,Japan,Search
96974,59,M,Japan,Search
88208,33,M,Japan,Display
62751,61,F,Japan,Search
14802,53,M,Japan,Search
48185,65,F,Japan,Organic
5399,44,M,United States,Organic
42412,55,F,United States,Facebook
60930,38,M,United States,Search
72320,18,F,United States,Search
88924,38,M,United States,Search
95819,17,M,United States,Search
9134,28,M,United States,Search
39408,58,F,United States,Search
75053,52,F,United States,Organic
97534,24,F,United States,Email
6581,20,M,United States,Search
19990,63,M,United States,Search
51394,65,M,United States,Organic
24421,42,M,United States,Search
95999,62,M,United States,Search
98728,58,F,United States,Facebook
45974,66,F,United States,Search
51477,55,M,United States,Facebook
96412,13,F,United States,Search
17497,24,F,United States,Search
26264,15,F,United States,Search
89699,66,F,United States,Search
95120,40,F,United States,Organic
97256,27,F,United States,Search
59562,54,M,United States,Search
68570,68,M,United States,Facebook
72901,23,M,United States,Search
5433,25,M,United States,Email
11024,62,M,United States,Search
33984,54,F,United States,Search
54235,32,F,United States,Search
66852,57,M,United States,Search
81893,14,M,United States,Organic
94352,16,F,United States,Organic
94518,30,M,United States,Search
95157,18,M,United States,Search
6596,18,M,United States,Search
28452,48,M,United States,Search
80326,41,F,United States,Search
11750,17,M,United States,Search
42269,36,M,United States,Search
47383,64,F,United States,Search
41243,16,F,United States,Search
82470,20,F,United States,Organic
1654,20,F,United States,Search
27410,58,F,United States,Search
31662,15,F,United States,Search
31780,68,M,United States,Search
53007,56,M,United States,Search
65160,41,F,United States,Search
76630,63,M,United States,Organic
90128,64,M,United States,Search
93341,61,F,United States,Search
1160,34,F,United States,Organic
69152,57,M,United States,Search
60587,22,M,United States,Search
62405,68,M,United States,Search
91012,50,F,United States,Organic
1672,38,F,United States,Organic
13735,51,F,United States,Search
58899,64,F,United States,Organic
60466,70,F,United States,Search
40135,29,M,United States,Search
73011,64,M,United States,Search
89002,48,F,United States,Search
94320,15,M,United States,Organic
59995,32,M,United States,Facebook
75137,54,M,United States,Search
97938,47,F,United States,Search
13380,34,M,United States,Organic
46467,57,F,United States,Search
49697,44,M,United States,Email
61449,34,M,United States,Search
84858,45,F,United States,Search
11902,28,F,United States,Search
12203,49,F,United States,Search
31520,24,M,United States,Search
56948,64,M,United States,Search
92848,38,F,United States,Search
2562,56,F,United States,Search
58463,55,F,United States,Organic
90837,18,M,United States,Search
24452,41,F,United States,Search
80938,58,F,United States,Search
12045,37,M,United States,Search
21188,43,F,United States,Search
40303,63,F,United States,Organic
70678,60,M,United States,Search
78820,46,M,United States,Facebook
79078,37,F,United States,Search
3089,37,F,United States,Organic
29605,20,M,United States,Organic
67860,67,F,United States,Search
86860,70,M,United States,Email
87311,54,F,United States,Search
24061,55,F,United States,Search
48490,67,M,United States,Search
94664,35,M,United States,Search
3211,25,M,United States,Search
78434,48,F,United States,Search
6611,19,F,United States,Search
6572,57,M,United States,Search
6716,40,F,United States,Search
11531,51,M,United States,Search
44528,39,M,United States,Search
95001,60,F,United States,Search
9159,21,F,United States,Search
82074,41,F,United States,Organic
84115,17,M,United States,Search
11266,15,M,United States,Email
12715,24,F,United States,Search
85880,60,M,United States,Search
87960,63,F,United States,Search
97948,28,F,United States,Search
28570,16,M,United States,Search
56020,59,M,United States,Search
60159,49,M,United States,Search
17057,45,M,United States,Organic
27769,33,M,United States,Search
65222,43,M,United States,Organic
68136,58,M,United States,Organic
28814,49,F,United States,Search
49754,50,M,United States,Organic
72417,63,M,United States,Search
9977,57,F,United States,Search
88950,13,M,United States,Search
97576,40,F,United States,Email
12875,30,M,United States,Search
23288,58,M,United States,Facebook
33729,19,M,United States,Organic
60321,31,F,United States,Search
61431,62,M,United States,Search
70518,67,M,United States,Search
73685,60,M,United States,Search
74125,37,M,United States,Search
10422,12,M,United States,Search
68349,30,F,United States,Search
27480,49,F,United States,Organic
28620,28,M,United States,Email
85862,18,M,United States,Search
69905,21,M,United States,Search
10504,29,F,United States,Search
39652,25,M,United States,Facebook
65636,33,M,United States,Email
67310,66,F,United States,Search
79537,22,F,United States,Organic
81064,49,F,United States,Search
91630,45,F,United States,Search
23395,66,M,United States,Email
89621,33,M,United States,Email
91361,44,F,United States,Search
66229,32,M,United States,Search
3468,25,M,United States,Organic
7353,70,M,United States,Search
12112,61,F,United States,Search
12158,63,M,United States,Email
23468,59,M,United States,Search
48879,51,M,United States,Organic
62603,42,M,United States,Email
93777,58,M,United States,Search
99499,70,F,United States,Organic
7421,50,F,United States,Search
26579,61,F,United States,Search
27208,50,F,United States,Search
27491,62,F,United States,Organic
27737,17,M,United States,Search
45759,17,F,United States,Search
49728,27,F,United States,Search
54300,20,M,United States,Search
71587,32,M,United States,Organic
7418,46,F,Brasil,Search
10044,59,M,Brasil,Search
19211,68,F,Brasil,Search
26864,56,M,Brasil,Search
54562,30,F,Brasil,Search
72957,54,M,Brasil,Search
76803,21,M,Brasil,Search
85276,57,F,Brasil,Organic
92032,62,F,Brasil,Search
92914,17,M,Brasil,Search
97379,35,M,Brasil,Email
4798,14,F,Brasil,Facebook
29251,70,M,Brasil,Organic
36182,64,M,Brasil,Organic
53164,70,F,Brasil,Organic
61993,49,M,Brasil,Search
78823,47,M,Brasil,Organic
81231,31,M,Brasil,Organic
82587,27,F,Brasil,Search
83607,48,F,Brasil,Search
98931,61,F,Brasil,Organic
645,34,M,Brasil,Search
7802,25,M,Brasil,Search
9179,46,F,Brasil,Search
30302,66,F,Brasil,Search
32481,31,F,Brasil,Organic
47874,53,F,Brasil,Search
61116,49,F,Brasil,Search
63542,27,M,Brasil,Search
80444,37,M,Brasil,Email
91554,58,M,Brasil,Search
96150,41,F,Brasil,Search
6960,44,M,Brasil,Search
17045,12,M,Brasil,Search
24863,23,M,Brasil,Search
28242,63,F,Brasil,Search
44330,68,M,Brasil,Organic
50832,15,F,Brasil,Organic
63595,17,F,Brasil,Search
81161,66,M,Brasil,Facebook
84984,70,F,Brasil,Email
95909,43,M,Brasil,Search
99544,28,F,Brasil,Search
99823,63,M,Brasil,Organic
4236,70,F,Brasil,Search
6567,57,M,Brasil,Search
22001,55,F,Brasil,Organic
35300,22,M,Brasil,Search
41260,35,M,Brasil,Search
77533,55,F,Brasil,Search
82716,37,F,Brasil,Organic
91458,15,M,Brasil,Search
99834,22,F,Brasil,Organic
1596,26,F,Brasil,Search
5191,51,F,Brasil,Facebook
6717,52,F,Brasil,Email
35385,22,F,Brasil,Organic
35562,17,F,Brasil,Search
43814,30,M,Brasil,Search
48177,23,M,Brasil,Search
52568,68,M,Brasil,Search
54811,12,M,Brasil,Search
58435,65,M,Brasil,Organic
58965,51,F,Brasil,Search
66777,43,F,Brasil,Search
67794,36,M,Brasil,Search
79293,23,F,Brasil,Search
88707,56,M,Brasil,Search
91709,25,M,Brasil,Display
14497,22,F,Brasil,Display
22145,62,F,Brasil,Search
29188,29,F,Brasil,Organic
66480,28,F,Brasil,Search
319,28,M,Brasil,Search
3978,70,M,Brasil,Search
20906,69,F,Brasil,Search
40460,22,M,Brasil,Search
52059,35,M,Brasil,Facebook
61919,39,M,Brasil,Search
73388,34,M,Brasil,Search
73469,63,F,Brasil,Organic
74277,64,M,Brasil,Facebook
75437,15,F,Brasil,Search
83264,36,M,Brasil,Search
88080,13,M,Brasil,Search
94156,40,F,Brasil,Search
806,64,F,Brasil,Search
5185,28,M,Brasil,Search
26288,62,F,Brasil,Search
29317,29,M,Brasil,Search
41217,57,M,Brasil,Search
59140,60,F,Brasil,Search
62578,19,F,Brasil,Search
65749,35,F,Brasil,Search
73571,42,F,Brasil,Organic
75745,20,M,Brasil,Search
90441,59,M,Brasil,Display
98404,49,F,Brasil,Search
16205,46,M,Brasil,Organic
32240,57,F,Brasil,Facebook
51277,31,M,Brasil,Display
61418,49,M,Brasil,Search
72465,54,F,Brasil,Search
73085,49,F,Brasil,Organic
74335,29,M,Brasil,Search
78976,48,F,Brasil,Organic
80384,70,F,Brasil,Search
82316,30,M,Brasil,Search
86567,46,F,Brasil,Search
3411,63,F,Brasil,Organic
16751,49,M,Brasil,Search
32425,23,M,Brasil,Search
38332,34,F,Brasil,Search
44895,58,F,Brasil,Search
54110,40,M,Brasil,Search
70121,61,F,Brasil,Search
74599,43,M,Brasil,Organic
76416,53,M,Brasil,Search
76651,32,M,Brasil,Search
43458,28,F,Brasil,Display
57685,18,M,Brasil,Search
70989,41,M,Brasil,Search
76725,14,M,Brasil,Search
79936,39,F,Brasil,Search
96336,39,F,Brasil,Search
20475,54,F,Brasil,Search
24695,43,F,Brasil,Organic
27186,55,M,Brasil,Search
35568,53,M,Brasil,Search
57010,39,F,Brasil,Organic
71997,34,F,Brasil,Search
72920,59,M,Brasil,Search
75924,18,F,Brasil,Organic
97271,36,F,Brasil,Facebook
99959,61,F,Brasil,Search
10167,49,M,Brasil,Search
11305,15,M,Brasil,Email
15892,36,F,Brasil,Search
23223,28,F,Brasil,Organic
31521,39,M,Brasil,Search
33230,68,M,Brasil,Search
36011,41,M,Brasil,Search
54666,64,F,Brasil,Search
56211,40,M,Brasil,Search
57665,59,M,Brasil,Search
57872,52,M,Brasil,Search
76383,70,F,Brasil,Organic
4239,43,M,Brasil,Organic
10263,42,F,Brasil,Organic
20520,55,M,Brasil,Search
26609,47,M,Brasil,Search
47860,48,F,Brasil,Search
52513,23,F,Brasil,Search
70893,50,F,Brasil,Search
74202,19,F,Brasil,Search
82001,47,F,Brasil,Search
83551,60,F,Brasil,Organic
90673,63,M,Brasil,Search
94086,33,F,Brasil,Organic
94152,23,M,Brasil,Search
96166,30,F,Brasil,Search
6650,13,M,Brasil,Search
30539,70,F,Brasil,Display
35587,51,F,Brasil,Search
46966,60,M,Brasil,Organic
53763,33,F,Brasil,Search
82913,29,F,Brasil,Search
83362,56,M,Brasil,Facebook
96916,50,M,Brasil,Search
3183,15,M,Brasil,Organic
3914,50,M,Brasil,Search
17398,19,M,Brasil,Organic
21040,15,F,Brasil,Email
37860,31,M,Brasil,Organic
41947,17,F,Brasil,Search
43980,55,F,Brasil,Display
53058,39,M,Brasil,Search
54148,16,M,Brasil,Search
60118,20,F,Brasil,Search
62263,36,F,Brasil,Search
63709,66,F,Brasil,Organic
68048,17,M,Brasil,Search
68167,46,M,Brasil,Search
69540,47,M,Brasil,Search
72461,39,F,Brasil,Search
73084,64,F,Brasil,Organic
76296,29,F,Brasil,Search
76333,24,F,Brasil,Search
78548,55,M,Brasil,Organic
86539,27,F,Brasil,Search
92361,39,M,Brasil,Search
5415,59,F,United States,Email
37669,55,M,United States,Search
1348,65,F,United States,Search
4370,39,F,United States,Search
20645,52,F,United States,Search
49878,45,F,United States,Search
15430,19,F,United States,Organic
33539,50,F,United States,Search
44063,24,F,United States,Search
45564,49,F,United States,Organic
7108,59,M,United States,Search
17428,25,M,United States,Email
44231,16,F,United States,Search
51250,12,F,United States,Organic
96713,34,M,United States,Search
15636,62,F,United States,Search
21286,16,M,United States,Email
32073,34,M,United States,Search
49305,46,F,United States,Search
98823,35,M,United States,Search
17775,35,M,United States,Search
47010,35,M,United States,Search
91283,29,F,United States,Display
1844,45,F,United States,Search
6657,42,F,United States,Search
51071,16,F,United States,Facebook
72052,52,M,United States,Search
40971,65,F,United States,Search
46120,43,F,United States,Email
70361,43,M,United States,Search
85829,36,F,United States,Search
95318,45,F,United States,Facebook
18064,35,M,United States,Search
78690,70,F,United States,Search
97789,36,M,United States,Search
3503,56,M,United States,Search
67419,65,M,United States,Search
71455,41,F,United States,Display
15319,59,M,Brasil,Search
38953,27,M,Brasil,Facebook
88671,47,F,Brasil,Search
8744,65,M,Brasil,Facebook
13452,51,F,Brasil,Search
14305,46,M,Brasil,Search
21911,40,M,Brasil,Search
30967,57,M,Brasil,Search
34727,42,M,Brasil,Organic
35028,26,F,Brasil,Search
40326,23,F,Brasil,Email
75017,56,F,Brasil,Search
535,40,M,Brasil,Organic
11623,53,M,Brasil,Search
14223,67,M,Brasil,Organic
20031,64,M,Brasil,Search
31175,26,M,Brasil,Organic
33524,39,M,Brasil,Display
40768,31,M,Brasil,Facebook
42905,24,M,Brasil,Search
70712,24,M,Brasil,Search
75211,53,M,Brasil,Facebook
79150,38,F,Brasil,Organic
91196,64,M,Brasil,Search
93404,25,M,Brasil,Search
2699,60,F,Brasil,Search
3869,13,F,Brasil,Search
9221,32,M,Brasil,Search
11990,58,M,Brasil,Organic
29271,31,F,Brasil,Search
36317,29,F,Brasil,Search
41248,68,F,Brasil,Search
43200,15,M,Brasil,Search
46069,18,M,Brasil,Search
48030,58,F,Brasil,Search
53646,37,F,Brasil,Facebook
54441,47,M,Brasil,Search
75545,30,M,Brasil,Search
78478,19,M,Brasil,Display
94336,39,F,Brasil,Search
96613,36,M,Brasil,Search
248,59,M,Brasil,Organic
17221,63,M,Brasil,Search
23377,54,M,Brasil,Search
24609,48,F,Brasil,Facebook
37844,26,F,Brasil,Search
62036,45,M,Brasil,Search
89073,14,F,Brasil,Search
5126,30,M,Brasil,Display
12711,26,M,Brasil,Search
12837,58,M,Brasil,Search
18412,61,F,Brasil,Email
28588,38,M,Brasil,Display
30301,21,M,Brasil,Search
38252,14,F,Brasil,Search
39409,39,M,Brasil,Search
41700,59,F,Brasil,Search
42103,34,F,Brasil,Search
48846,22,M,Brasil,Search
62300,28,M,Brasil,Organic
82217,56,F,Brasil,Email
26054,60,F,Brasil,Search
35560,59,M,Brasil,Search
39473,43,F,Brasil,Search
49657,34,F,Brasil,Search
51231,24,F,Brasil,Facebook
59425,22,F,Brasil,Search
64973,40,M,Brasil,Search
71093,15,F,Brasil,Search
72024,50,M,Brasil,Search
89616,17,M,Brasil,Search
3894,21,F,Brasil,Search
5645,44,M,Brasil,Search
20210,41,M,Brasil,Facebook
22149,44,F,Brasil,Display
24222,39,M,Brasil,Facebook
30365,63,M,Brasil,Organic
30625,53,F,Brasil,Organic
44924,43,M,Brasil,Search
45444,42,F,Brasil,Search
47047,38,F,Brasil,Search
57577,20,F,Brasil,Search
57730,15,F,Brasil,Search
59757,61,M,Brasil,Search
66955,13,F,Brasil,Search
68385,32,M,Brasil,Organic
68554,55,F,Brasil,Search
70060,30,F,Brasil,Search
70991,16,F,Brasil,Search
71848,28,F,Brasil,Search
77478,18,M,Brasil,Organic
78025,52,M,Brasil,Search
79166,56,F,Brasil,Search
87761,38,M,Brasil,Search
87872,32,F,Brasil,Search
88538,32,M,Brasil,Search
91061,35,F,Brasil,Search
17774,34,M,Brasil,Organic
18953,14,F,Brasil,Search
21692,22,M,Brasil,Search
35515,64,F,Brasil,Search
50314,55,M,Brasil,Search
58632,39,F,Brasil,Search
71818,69,M,Brasil,Search
12025,49,F,Brasil,Display
46333,48,F,Brasil,Search
47706,70,M,Brasil,Search
50000,68,M,Brasil,Organic
52857,30,M,Brasil,Search
55261,44,M,Brasil,Search
69325,24,M,Brasil,Search
70634,21,M,Brasil,Search
75321,46,F,Brasil,Organic
20683,15,F,Brasil,Organic
20804,33,F,Brasil,Email
22417,31,M,Brasil,Search
24230,51,F,Brasil,Search
34783,46,M,Brasil,Search
36097,68,F,Brasil,Organic
49821,43,F,Brasil,Email
56458,42,M,Brasil,Search
67478,63,F,Brasil,Search
68723,15,M,Brasil,Search
84064,62,F,Brasil,Search
90707,51,M,Brasil,Search
91950,57,F,Brasil,Search
98673,62,M,Brasil,Facebook
1378,16,M,Brasil,Organic
3841,65,M,Brasil,Search
10997,16,M,Brasil,Search
13504,19,F,Brasil,Email
15064,20,F,Brasil,Search
16365,37,M,Brasil,Search
22043,58,M,Brasil,Email
27309,22,M,Brasil,Email
31747,21,M,Brasil,Email
34289,19,M,Brasil,Organic
42746,64,F,Brasil,Search
43498,52,F,Brasil,Search
48585,41,M,Brasil,Organic
59900,66,M,Brasil,Search
64994,65,M,Brasil,Search
69353,31,F,Brasil,Display
71396,35,F,Brasil,Search
71686,16,M,Brasil,Search
73619,70,F,Brasil,Search
76000,14,M,Brasil,Organic
77528,19,F,Brasil,Email
81901,69,M,Brasil,Search
98418,30,F,Brasil,Search
20752,51,F,Brasil,Email
79211,63,F,Brasil,Facebook
80053,29,M,Brasil,Search
80239,21,F,Brasil,Search
82718,46,M,Brasil,Organic
84873,68,F,Brasil,Search
86640,58,F,Brasil,Search
34135,20,F,Brasil,Search
50133,15,F,Brasil,Search
88717,47,M,Brasil,Search
1963,34,F,Brasil,Organic
10697,20,M,Brasil,Search
14939,63,M,Brasil,Search
27431,59,F,Brasil,Search
44922,41,F,Brasil,Search
46963,30,F,Brasil,Search
2904,63,F,Brasil,Search
11092,31,F,Brasil,Search
15615,57,M,Brasil,Search
17130,53,F,Brasil,Search
17420,60,M,Brasil,Search
28198,13,M,Brasil,Search
31231,66,M,Brasil,Search
43387,51,F,Brasil,Search
48705,53,M,Brasil,Search
49824,45,F,Brasil,Search
61558,56,F,Brasil,Organic
63848,62,M,Brasil,Search
73138,33,F,Brasil,Display
76552,17,M,Brasil,Organic
10909,43,F,Brasil,Search
26395,45,F,Brasil,Search
33101,57,F,Brasil,Search
34838,60,M,Brasil,Search
38091,12,M,Brasil,Search
39009,54,M,Brasil,Search
41052,55,M,Brasil,Organic
49979,66,M,Brasil,Email
53003,63,F,Brasil,Display
53053,51,M,Brasil,Search
55073,46,F,Brasil,Search
55668,60,F,Brasil,Organic
58690,17,M,Brasil,Display
59591,49,F,Brasil,Search
59910,12,F,Brasil,Search
60170,46,F,Brasil,Search
60509,29,M,Brasil,Search
62824,57,F,Brasil,Email
64178,38,F,Brasil,Search
65485,64,M,Brasil,Search
71786,20,F,Brasil,Search
74389,69,M,Brasil,Search
78935,39,F,Brasil,Display
89507,28,M,Brasil,Search
90760,32,M,Brasil,Search
97629,48,F,Brasil,Organic
99252,21,M,Brasil,Search
6576,40,M,Brasil,Search
48712,19,M,Brasil,Search
51156,62,F,Brasil,Search
52486,59,M,Brasil,Search
54427,28,F,Brasil,Search
55792,43,F,Brasil,Search
56177,25,M,Brasil,Search
57436,29,M,Brasil,Search
57438,57,F,Brasil,Search
58743,70,F,Brasil,Search
59740,27,M,Brasil,Search
64333,12,M,Brasil,Search
69480,33,F,Brasil,Search
69764,58,F,Brasil,Search
71456,60,F,Brasil,Search
74516,21,F,Brasil,Search
83826,68,M,Brasil,Search
96247,41,F,Brasil,Search
97575,67,F,Brasil,Search
4059,41,F,Brasil,Organic
5817,14,M,Brasil,Organic
12153,32,F,Brasil,Search
14722,37,M,Brasil,Organic
41179,19,F,Brasil,Organic
48058,62,F,Brasil,Search
53602,46,M,Brasil,Organic
68822,57,F,Brasil,Organic
70731,52,M,Brasil,Search
73642,62,M,Brasil,Search
77122,56,M,Brasil,Search
79090,64,M,Brasil,Search
729,27,F,Brasil,Search
3070,16,M,Brasil,Search
9621,56,M,Brasil,Search
11773,63,M,Brasil,Search
13003,55,M,Brasil,Search
13982,16,M,Brasil,Search
19382,54,M,Brasil,Organic
27007,43,M,Brasil,Search
30922,69,M,Brasil,Search
35735,24,M,Brasil,Email
45078,58,F,Brasil,Search
65632,18,F,Brasil,Search
90769,43,M,Brasil,Email
97820,33,F,Brasil,Organic
99922,37,F,Brasil,Search
1613,48,F,Brasil,Search
2722,17,F,Brasil,Search
14159,39,M,Brasil,Search
20268,26,M,Brasil,Search
23205,62,F,Brasil,Email
23281,21,F,Brasil,Search
27168,49,F,Brasil,Search
27242,20,M,Brasil,Search
35949,40,F,Brasil,Search
42196,55,F,Brasil,Search
50936,55,M,Brasil,Search
55169,21,M,Brasil,Search
58822,69,F,Brasil,Search
60627,43,M,Brasil,Search
61535,44,F,Brasil,Search
61750,20,F,Brasil,Search
64284,59,F,Brasil,Search
68573,67,M,Brasil,Organic
69586,64,M,Brasil,Search
69720,32,M,Brasil,Search
69842,30,F,Brasil,Search
73385,38,M,Brasil,Search
78814,34,M,Brasil,Organic
82210,63,F,Brasil,Search
86007,49,M,Brasil,Search
91030,66,M,Brasil,Search
94658,21,M,Brasil,Facebook
32200,36,M,Brasil,Search
37064,40,F,Brasil,Search
38933,35,F,Brasil,Facebook
54467,59,F,Brasil,Search
92104,33,F,Brasil,Organic
93948,25,M,Brasil,Search
21509,55,F,Brasil,Facebook
27713,63,M,Brasil,Search
48667,15,F,Brasil,Organic
51994,44,F,Brasil,Search
79644,67,F,Brasil,Email
358,39,M,Brasil,Organic
12280,47,F,Brasil,Search
20588,66,M,Brasil,Organic
36647,45,F,Brasil,Search
37928,62,M,Brasil,Search
40742,27,F,Brasil,Search
55512,55,F,Brasil,Search
63902,53,M,Brasil,Search
65366,40,M,Brasil,Search
68866,55,F,Brasil,Search
77558,55,M,Brasil,Display
87459,65,F,Brasil,Search
97819,24,F,Brasil,Search
4349,69,F,Brasil,Organic
5466,32,F,Brasil,Display
6898,45,F,Brasil,Organic
16300,67,M,Brasil,Email
19535,16,M,Brasil,Organic
30642,36,F,Brasil,Facebook
35781,28,F,Brasil,Organic
43985,51,F,Brasil,Search
48562,44,F,Brasil,Search
49237,32,F,Brasil,Search
55424,46,F,Brasil,Organic
70890,20,M,Brasil,Search
74086,27,F,Brasil,Display
74853,32,F,Brasil,Search
75910,20,M,Brasil,Email
83956,18,M,Brasil,Search
90475,16,M,Brasil,Facebook
92463,13,M,Brasil,Search
94309,59,F,Brasil,Search
95077,56,F,Brasil,Search
3313,28,F,Brasil,Search
7239,61,F,Brasil,Organic
15944,34,F,Brasil,Search
73850,46,F,Brasil,Search
76763,24,F,Brasil,Organic
82432,67,M,Brasil,Facebook
95232,37,F,Brasil,Search
129,66,M,Brasil,Search
10188,43,F,Brasil,Search
16558,57,F,Brasil,Search
28569,22,M,Brasil,Search
35254,24,M,Brasil,Email
38961,36,M,Brasil,Organic
55920,15,M,Brasil,Search
57775,32,F,Brasil,Search
58138,33,M,Brasil,Search
68099,33,M,Brasil,Email
83775,17,F,Brasil,Search
87989,41,F,Brasil,Facebook
93194,12,M,Brasil,Organic
93696,70,F,Brasil,Search
97187,17,M,Brasil,Search
7868,46,F,Brasil,Search
11278,29,F,Brasil,Search
36299,47,F,Brasil,Search
45049,16,M,Brasil,Search
52663,34,M,Brasil,Search
65901,62,F,Brasil,Email
71418,68,M,Brasil,Search
85130,32,M,Brasil,Search
90490,32,F,Brasil,Email
93407,21,F,Brasil,Search
2821,22,F,Brasil,Search
7346,33,M,Brasil,Search
14205,26,F,Brasil,Search
17638,12,M,Brasil,Organic
53033,50,F,Brasil,Organic
58158,47,M,Brasil,Organic
62457,39,M,Brasil,Search
64768,32,M,Brasil,Search
96907,16,F,Brasil,Facebook
10618,67,F,Brasil,Search
12173,43,M,Brasil,Search
12735,44,F,Brasil,Search
18644,62,F,Brasil,Search
23723,23,M,Brasil,Search
25395,41,M,Brasil,Search
29200,61,M,Brasil,Facebook
29786,60,M,Brasil,Search
30515,55,M,Brasil,Search
35116,14,F,Brasil,Search
44468,51,M,Brasil,Organic
44828,40,M,Brasil,Facebook
51048,37,F,Brasil,Search
56176,67,M,Brasil,Search
58403,46,F,Brasil,Search
61583,49,M,Brasil,Search
69906,21,M,Brasil,Facebook
81330,41,M,Brasil,Search
86972,29,F,Brasil,Search
91013,54,F,Brasil,Search
97831,67,F,Brasil,Search
18251,30,M,Brasil,Facebook
31861,47,F,Brasil,Search
35491,22,M,Brasil,Organic
93377,23,M,Brasil,Email
1439,33,F,Brasil,Search
4460,68,F,Brasil,Search
11509,48,F,Brasil,Search
21515,67,F,Brasil,Search
21956,69,F,Brasil,Search
26378,62,F,Brasil,Search
30864,33,M,Brasil,Search
39743,50,M,Brasil,Search
40596,43,F,Brasil,Search
50374,66,F,Brasil,Organic
55290,16,M,Brasil,Search
55721,53,F,Brasil,Organic
59467,40,F,Brasil,Display
63015,58,F,Brasil,Organic
69862,43,F,Brasil,Search
73806,56,M,Brasil,Search
82832,35,M,Brasil,Organic
86818,44,M,Brasil,Email
688,43,F,Brasil,Organic
5619,47,M,Brasil,Search
7508,66,F,Brasil,Search
10867,42,F,Brasil,Search
11374,69,M,Brasil,Search
14896,51,M,Brasil,Search
23769,32,M,Brasil,Search
24039,61,M,Brasil,Search
32960,65,M,Brasil,Search
37472,20,M,Brasil,Search
46317,54,M,Brasil,Organic
46602,61,M,Brasil,Search
51252,35,M,Brasil,Organic
64328,21,M,Brasil,Search
71446,31,F,Brasil,Search
72517,48,F,Brasil,Display
78366,24,F,Brasil,Search
83232,40,M,Brasil,Search
84342,52,F,Brasil,Search
88704,28,F,Brasil,Search
91186,70,M,Brasil,Search
92779,67,M,Brasil,Search
92880,32,F,Brasil,Organic
4027,57,F,Brasil,Search
46164,47,F,Brasil,Search
97479,23,F,Brasil,Search
10741,32,M,Brasil,Organic
22077,28,M,Brasil,Search
